,PERSON_ID,PLAYER_AGE,SEASON_ID,GP,W,L,W_PCT,MIN,PLUS_MINUS,DD2,TD3,HEIGHT,WEIGHT,SEASON_EXP,POSITION,FGM,FGA,FG3M,FTM,FTA,REB,AST,TOV,STL,BLK,PTS
2010,1627736,21.0,2017-18,62,34,28,0.5479999999999999,582.7316667,-27,0,0,6-4,187,4,Guard,73,178,28,22,33,71,31,24,15,7,196
2011,1627736,22.0,2018-19,81,53,28,0.654,1878.723333,135,0,0,6-4,187,4,Guard,349,737,163,56,66,200,97,55,55,10,917
2012,1627736,23.0,2019-20,55,30,25,0.545,1208.711667,-50,1,0,6-4,187,4,Guard,227,534,107,54,66,148,75,57,40,8,615
2013,1627736,23.0,2019-20,55,30,25,0.545,1208.711667,-50,1,0,6-4,187,4,Guard,227,534,107,54,66,148,75,57,40,8,615
2014,1627736,23.0,2019-20,55,30,25,0.545,1208.711667,-50,1,0,6-4,187,4,Guard,227,534,107,54,66,148,75,57,40,8,615
2015,1627761,22.0,2016-17,38,20,18,0.526,370.74,-47,0,0,6-5,210,4,Guard-Forward,47,98,1,6,16,59,28,16,8,5,101
2016,1627761,23.0,2017-18,26,8,18,0.308,455.21666669999996,-75,0,0,6-5,210,4,Guard-Forward,53,128,11,19,33,72,49,47,21,12,136
2017,1627761,24.0,2018-19,82,29,53,0.354,1931.28,-229,3,0,6-5,210,4,Guard-Forward,275,616,50,87,136,358,202,142,105,41,687
2018,1627761,25.0,2019-20,43,10,33,0.233,915.36,-257,2,0,6-5,210,4,Guard-Forward,104,228,15,26,48,152,81,60,55,19,249
2019,202722,24.0,2016-17,67,51,16,0.7609999999999999,807.5583333,116,0,0,6-10,225,4,Forward,103,234,69,28,34,98,46,32,20,28,303
2020,202722,25.0,2017-18,77,43,34,0.5579999999999999,1086.208333,89,0,0,6-10,225,4,Forward,161,366,94,40,49,153,74,36,26,28,456
2021,202722,26.0,2018-19,76,44,32,0.579,1631.708333,257,0,0,6-10,225,4,Forward,204,453,145,53,60,264,100,43,35,33,606
2022,202722,27.0,2019-20,54,20,34,0.37,1583.011667,-14,1,0,6-10,225,4,Forward,265,610,200,104,122,245,92,59,37,33,834
2023,1627763,24.0,2016-17,75,38,37,0.507,1982.39,87,2,1,6-5,229,4,Guard,290,635,78,109,126,213,317,113,84,12,767
2024,1627763,25.0,2017-18,48,25,23,0.521,1436.016667,-62,1,0,6-5,229,4,Guard,244,503,62,75,85,156,152,66,41,13,625
2025,1627763,26.0,2018-19,64,49,15,0.7659999999999999,1831.5916670000001,425,0,0,6-5,229,4,Guard,378,748,104,141,152,288,205,91,46,13,1001
2026,1627763,27.0,2019-20,54,34,20,0.63,1666.268333,89,9,0,6-5,229,4,Guard,326,744,75,166,186,262,381,131,35,10,893
2027,1627759,20.0,2016-17,78,50,28,0.6409999999999999,1341.326667,-123,0,0,6-6,223,4,Guard-Forward,192,422,46,85,124,220,64,68,35,18,515
2028,1627759,21.0,2017-18,70,47,23,0.6709999999999999,2151.745,341,2,0,6-6,223,4,Guard-Forward,373,803,121,150,233,346,114,124,70,26,1017
2029,1627759,22.0,2018-19,74,41,33,0.5539999999999999,1913.3516670000001,66,2,0,6-6,223,4,Guard-Forward,368,792,95,133,202,313,100,99,69,32,964
2030,1627759,23.0,2019-20,57,38,19,0.667,1933.665,229,8,0,6-6,223,4,Guard-Forward,427,887,129,176,243,364,118,125,65,20,1159
2031,1627737,19.0,2016-17,82,24,58,0.293,1743.36,-382,3,0,6-9,240,4,Forward,284,632,72,113,181,348,60,108,67,70,753
2032,1627737,20.0,2017-18,72,19,53,0.264,1526.9,-298,5,0,6-9,240,4,Forward,202,477,56,96,158,395,83,107,51,70,556
2033,1627737,21.0,2018-19,43,17,26,0.395,498.80166669999994,-170,1,0,6-9,240,4,Forward,67,180,16,32,45,142,22,36,17,11,182
2034,1627737,21.0,2018-19,43,17,26,0.395,498.80166669999994,-170,1,0,6-9,240,4,Forward,67,180,16,32,45,142,22,36,17,11,182
2035,1627737,21.0,2018-19,43,17,26,0.395,498.80166669999994,-170,1,0,6-9,240,4,Forward,67,180,16,32,45,142,22,36,17,11,182
